claim_id,employee_id,receipt_id,submitted_at,status,claimed_amount,category,decided_at,duplicate_of,dup_type
C00026,E015,R00026,2025-07-09T16:00:00,APPROVED,2169.00,food,2025-07-12T16:00:00,,
C00027,E002,R00027,2025-07-28T14:00:00,UNDER_REVIEW,1134.00,grocery,,,
C00028,E020,R00028,2025-02-14T16:00:00,APPROVED,4601.00,fuel,2025-02-17T16:00:00,,
C00029,E023,R00029,2025-05-28T10:00:00,SUBMITTED,830.00,food,,,
C00030,E025,R00030,2025-06-21T15:00:00,APPROVED,1386.00,food,2025-06-27T15:00:00,,
C00031,E004,R00031,2025-06-27T17:00:00,APPROVED,7135.00,stationery,2025-06-29T17:00:00,,
C00032,E003,R00032,2025-05-28T14:00:00,REJECTED,19842.00,travel,2025-06-01T14:00:00,,
C00033,E002,R00033,2025-03-19T09:00:00,REJECTED,800.00,pharmacy,2025-03-21T09:00:00,,
C00034,E010,R00034,2025-04-22T10:00:00,APPROVED,775.00,fuel,2025-04-28T10:00:00,,
C00035,E023,R00035,2025-06-18T12:00:00,UNDER_REVIEW,834.00,grocery,,,
C00036,E019,R00036,2025-08-21T18:00:00,SUBMITTED,2781.00,pharmacy,,,
C00037,E001,R00037,2025-01-25T11:00:00,SUBMITTED,14320.00,printing,,,
C00038,E008,R00038,2025-06-14T10:00:00,REJECTED,1747.00,pharmacy,2025-06-19T10:00:00,,
C00039,E020,R00039,2025-02-14T10:00:00,SUBMITTED,9926.00,hardware,,,
C00040,E021,R00040,2025-08-27T09:00:00,APPROVED,1554.00,food,2025-09-02T09:00:00,,
C00041,E002,R00041,2025-02-27T12:00:00,UNDER_REVIEW,5196.00,travel,,,
C00042,E023,R00042,2025-08-01T16:00:00,SUBMITTED,1290.00,food,,,
C00043,E023,R00043,2025-05-04T14:00:00,SUBMITTED,2356.00,stationery,,,
C00044,E009,R00044,2025-08-10T09:00:00,SUBMITTED,1352.00,pharmacy,,,
C00045,E023,R00045,2025-02-03T18:00:00,REJECTED,12907.00,travel,2025-02-11T18:00:00,,
C00046,E023,R00046,2025-02-22T11:00:00,SUBMITTED,1736.00,food,,,
C00047,E005,R00047,2025-03-28T09:00:00,APPROVED,1348.00,food,2025-03-30T09:00:00,,
C00048,E015,R00048,2025-05-20T15:00:00,UNDER_REVIEW,3417.00,grocery,,,
C00049,E021,R00049,2025-07-17T09:00:00,UNDER_REVIEW,3507.00,stationery,,,
C00050,E017,R00050,2025-01-23T10:00:00,SUBMITTED,1729.00,pharmacy,,,
C00051,E015,R00051,2025-06-13T11:00:00,APPROVED,2059.00,grocery,2025-06-19T11:00:00,,
C00052,E019,R00052,2025-02-11T15:00:00,SUBMITTED,2125.00,fuel,,,
C00053,E002,R00053,2025-07-21T12:00:00,APPROVED,1306.00,grocery,2025-07-26T12:00:00,,
C00054,E021,R00054,2025-04-06T13:00:00,APPROVED,1570.00,food,2025-04-12T13:00:00,,
C00055,E008,R00055,2025-06-12T15:00:00,SUBMITTED,4063.00,food,,,
C00056,E012,R00056,2025-03-22T15:00:00,APPROVED,8008.00,hardware,2025-03-30T15:00:00,,
C00057,E017,R00057,2025-06-13T10:00:00,SUBMITTED,3518.00,grocery,,,
C00058,E004,R00058,2025-03-18T10:00:00,SUBMITTED,2502.00,stationery,,,
C00059,E010,R00059,2025-04-09T11:00:00,APPROVED,2724.00,printing,2025-04-17T11:00:00,,
C00060,E015,R00060,2025-08-31T10:00:00,APPROVED,22174.00,printing,2025-09-03T10:00:00,,
C00061,E012,R00061,2025-09-07T09:00:00,SUBMITTED,1753.00,food,,,
C00062,E021,R00062,2025-04-25T10:00:00,APPROVED,1348.00,grocery,2025-05-01T10:00:00,,
C00063,E006,R00063,2025-07-30T13:00:00,APPROVED,2160.00,grocery,2025-08-07T13:00:00,,
C00064,E022,R00064,2025-08-17T12:00:00,UNDER_REVIEW,931.00,grocery,,,
C00065,E015,R00065,2025-07-31T14:00:00,APPROVED,26211.00,hotel,2025-08-04T14:00:00,,
C00066,E005,R00066,2025-01-26T11:00:00,SUBMITTED,402.00,grocery,,,
C00067,E005,R00067,2025-04-05T11:00:00,SUBMITTED,2608.00,food,,,
C00068,E012,R00068,2025-02-19T10:00:00,UNDER_REVIEW,391.00,grocery,,,
C00069,E001,R00069,2025-06-24T11:00:00,REJECTED,1417.00,pharmacy,2025-06-27T11:00:00,,
C00070,E007,R00070,2025-06-07T12:00:00,SUBMITTED,2045.00,food,,,
C00071,E006,R00071,2025-05-22T16:00:00,SUBMITTED,2877.00,food,,,
C00072,E006,R00072,2025-04-04T12:00:00,APPROVED,17550.00,travel,2025-04-10T12:00:00,,
C00073,E021,R00073,2025-06-20T13:00:00,SUBMITTED,2272.00,fuel,,,
C00074,E022,R00074,2025-02-24T14:00:00,REJECTED,1942.00,fuel,2025-03-03T14:00:00,,
C00075,E014,R00075,2025-09-07T13:00:00,SUBMITTED,2487.00,food,,,
C00076,E021,R00076,2025-03-20T12:00:00,REJECTED,7499.00,fuel,2025-03-26T12:00:00,,
C00077,E023,R00077,2025-06-27T10:00:00,REJECTED,1072.00,stationery,2025-07-03T10:00:00,,
C00078,E015,R00078,2025-01-26T11:00:00,APPROVED,1187.00,fuel,2025-02-03T11:00:00,,
C00079,E015,R00079,2025-02-03T12:00:00,SUBMITTED,1707.00,fuel,,,
C00080,E009,R00080,2025-02-09T12:00:00,SUBMITTED,5321.00,stationery,,,
C00081,E002,R00081,2025-02-19T12:00:00,APPROVED,1149.00,stationery,2025-02-27T12:00:00,,
C00082,E009,R00082,2025-07-20T11:00:00,APPROVED,1755.00,food,2025-07-26T11:00:00,,
C00083,E001,R00083,2025-02-11T18:00:00,APPROVED,2477.00,pharmacy,2025-02-19T18:00:00,,
C00084,E025,R00084,2025-04-13T10:00:00,UNDER_REVIEW,2323.00,grocery,,,
C00085,E011,R00085,2025-03-21T16:00:00,SUBMITTED,946.00,fuel,,,
C00086,E024,R00086,2025-09-13T13:00:00,APPROVED,2518.00,food,2025-09-21T13:00:00,,
C00087,E022,R00087,2025-04-07T10:00:00,SUBMITTED,6522.00,fuel,,,
C00088,E004,R00088,2025-08-17T13:00:00,APPROVED,1918.00,pharmacy,2025-08-18T13:00:00,,
C00089,E004,R00089,2025-05-15T11:00:00,REJECTED,2597.00,stationery,2025-05-19T11:00:00,,
C00090,E024,R00090,2025-08-12T14:00:00,APPROVED,3356.00,food,2025-08-16T14:00:00,,
C00091,E004,R00091,2025-06-06T17:00:00,SUBMITTED,4543.00,grocery,,,
C00092,E012,R00092,2025-08-31T13:00:00,SUBMITTED,18015.00,printing,,,
C00093,E007,R00093,2025-01-14T09:00:00,SUBMITTED,27035.00,travel,,,
C00094,E010,R00094,2025-09-05T18:00:00,SUBMITTED,1614.00,food,,,
C00095,E017,R00095,2025-05-20T09:00:00,SUBMITTED,2996.00,pharmacy,,,
C00096,E009,R00096,2025-04-27T10:00:00,APPROVED,3717.00,food,2025-04-29T10:00:00,,
C00097,E024,R00097,2025-01-26T12:00:00,SUBMITTED,220.00,food,,,
C00098,E008,R00098,2025-05-20T11:00:00,APPROVED,581.00,stationery,2025-05-28T11:00:00,,
C00099,E017,R00099,2025-06-15T17:00:00,APPROVED,862.00,food,2025-06-21T17:00:00,,
C00100,E022,R00100,2025-01-23T10:00:00,APPROVED,1852.00,food,2025-01-31T10:00:00,,
C00101,E015,R00101,2025-06-27T16:00:00,SUBMITTED,21273.00,printing,,,
C00102,E007,R00102,2025-07-19T10:00:00,SUBMITTED,5151.00,fuel,,,
C00103,E025,R00103,2025-06-30T10:00:00,APPROVED,5397.00,fuel,2025-07-01T10:00:00,,
C00104,E010,R00104,2025-01-17T10:00:00,REJECTED,346.00,food,2025-01-22T10:00:00,,
C00105,E005,R00105,2025-06-26T17:00:00,REJECTED,2448.00,pharmacy,2025-07-02T17:00:00,,
C00106,E004,R00106,2025-08-28T18:00:00,APPROVED,1329.00,food,2025-09-05T18:00:00,,
C00107,E007,R00107,2025-05-08T18:00:00,SUBMITTED,163.00,grocery,,,
C00108,E006,R00108,2025-08-14T11:00:00,SUBMITTED,16606.00,printing,,,
C00109,E010,R00109,2025-04-21T14:00:00,APPROVED,1477.00,grocery,2025-04-23T14:00:00,,
C00110,E008,R00110,2025-04-11T18:00:00,UNDER_REVIEW,898.00,food,,,
C00111,E013,R00111,2025-08-01T09:00:00,SUBMITTED,351.00,food,,,
C00112,E016,R00112,2025-03-08T15:00:00,APPROVED,1562.00,pharmacy,2025-03-09T15:00:00,,
C00113,E006,R00113,2025-05-31T17:00:00,UNDER_REVIEW,4288.00,grocery,,,
C00114,E017,R00114,2025-07-12T09:00:00,APPROVED,13245.00,printing,2025-07-13T09:00:00,,
C00115,E012,R00115,2025-08-18T11:00:00,REJECTED,10477.00,hardware,2025-08-22T11:00:00,,
C00116,E007,R00116,2025-01-29T11:00:00,APPROVED,2045.00,grocery,2025-02-02T11:00:00,,
C00117,E019,R00117,2025-09-12T14:00:00,REJECTED,969.00,food,2025-09-16T14:00:00,,
C00118,E001,R00118,2025-06-11T12:00:00,UNDER_REVIEW,2883.00,grocery,,,
C00119,E016,R00119,2025-02-05T12:00:00,SUBMITTED,9964.00,hotel,,,
C00120,E020,R00120,2025-03-20T11:00:00,SUBMITTED,9802.00,hardware,,,
C00121,E013,R00121,2025-05-01T16:00:00,REJECTED,1825.00,food,2025-05-02T16:00:00,,
C00122,E016,R00122,2025-07-15T16:00:00,SUBMITTED,3968.00,stationery,,,
C00123,E011,R00123,2025-07-19T11:00:00,SUBMITTED,1068.00,pharmacy,,,
C00124,E025,R00124,2025-04-18T10:00:00,APPROVED,2344.00,hardware,2025-04-19T10:00:00,,
C00125,E023,R00125,2025-03-16T11:00:00,SUBMITTED,2329.00,food,,,
C00126,E018,R00126,2025-06-29T14:00:00,REJECTED,20055.00,printing,2025-07-02T14:00:00,,
C00127,E005,R00127,2025-08-19T14:00:00,REJECTED,2956.00,grocery,2025-08-23T14:00:00,,
C00128,E010,R00128,2025-05-15T11:00:00,SUBMITTED,7162.00,hardware,,,
C00129,E006,R00129,2025-04-01T17:00:00,UNDER_REVIEW,6444.00,printing,,,
C00130,E022,R00130,2025-06-06T09:00:00,APPROVED,9618.00,travel,2025-06-09T09:00:00,,
C00131,E006,R00131,2025-05-23T10:00:00,SUBMITTED,32866.00,hotel,,,
C00132,E023,R00132,2025-06-03T13:00:00,APPROVED,6391.00,hardware,2025-06-07T13:00:00,,
C00133,E013,R00133,2025-06-03T18:00:00,APPROVED,4558.00,printing,2025-06-07T18:00:00,,
C00134,E007,R00134,2025-06-12T12:00:00,APPROVED,18621.00,travel,2025-06-14T12:00:00,,
C00135,E011,R00135,2025-02-25T09:00:00,UNDER_REVIEW,2128.00,stationery,,,
C00136,E002,R00136,2025-03-20T10:00:00,APPROVED,2570.00,food,2025-03-28T10:00:00,,
C00137,E017,R00137,2025-05-03T15:00:00,SUBMITTED,4064.00,stationery,,,
C00138,E023,R00138,2025-05-23T14:00:00,APPROVED,1306.00,pharmacy,2025-05-24T14:00:00,,
C00139,E007,R00139,2025-06-29T11:00:00,SUBMITTED,26489.00,travel,,,
C00140,E017,R00140,2025-05-23T18:00:00,APPROVED,4022.00,stationery,2025-05-29T18:00:00,,
C00141,E019,R00141,2025-08-31T10:00:00,SUBMITTED,2079.00,pharmacy,,,
C00142,E015,R00142,2025-07-14T11:00:00,APPROVED,2310.00,pharmacy,2025-07-20T11:00:00,,
C00143,E005,R00143,2025-02-16T15:00:00,APPROVED,963.00,food,2025-02-17T15:00:00,,
C00144,E004,R00144,2025-04-21T14:00:00,SUBMITTED,12033.00,travel,,,
C00145,E024,R00145,2025-04-06T16:00:00,SUBMITTED,1146.00,grocery,,,
C00146,E021,R00146,2025-09-07T13:00:00,REJECTED,11115.00,travel,2025-09-14T13:00:00,,
C00147,E005,R00147,2025-02-22T16:00:00,APPROVED,17737.00,printing,2025-02-23T16:00:00,,
C00148,E009,R00148,2025-06-10T17:00:00,APPROVED,550.00,grocery,2025-06-12T17:00:00,,
C00149,E008,R00149,2025-05-01T15:00:00,SUBMITTED,5580.00,hardware,,,
C00150,E009,R00150,2025-01-11T17:00:00,SUBMITTED,3239.00,grocery,,,
C00151,E019,R00151,2025-02-17T10:00:00,SUBMITTED,4128.00,grocery,,,
C00152,E014,R00152,2025-05-15T09:00:00,SUBMITTED,465.00,grocery,,,
C00153,E023,R00153,2025-07-26T15:00:00,UNDER_REVIEW,2958.00,hardware,,,
C00154,E008,R00154,2025-05-12T09:00:00,APPROVED,2790.00,pharmacy,2025-05-15T09:00:00,,
C00155,E005,R00155,2025-03-19T13:00:00,REJECTED,2158.00,fuel,2025-03-20T13:00:00,,
C00156,E003,R00156,2025-09-04T12:00:00,SUBMITTED,1768.00,food,,,
C00157,E014,R00157,2025-05-29T13:00:00,REJECTED,1769.00,grocery,2025-05-31T13:00:00,,
C00158,E016,R00158,2025-08-11T17:00:00,SUBMITTED,5219.00,pharmacy,,,
C00159,E015,R00159,2025-03-03T16:00:00,APPROVED,18695.00,travel,2025-03-09T16:00:00,,
C00160,E014,R00160,2025-05-02T17:00:00,APPROVED,4453.00,fuel,2025-05-09T17:00:00,,
C00161,E003,R00161,2025-02-19T17:00:00,SUBMITTED,2607.00,pharmacy,,,
C00162,E025,R00162,2025-04-29T10:00:00,UNDER_REVIEW,1584.00,grocery,,,
C00163,E018,R00163,2025-03-28T10:00:00,SUBMITTED,2019.00,food,,,
C00164,E021,R00164,2025-07-31T11:00:00,SUBMITTED,448.00,stationery,,,
C00165,E002,R00165,2025-02-21T13:00:00,UNDER_REVIEW,3248.00,food,,,
C00166,E021,R00166,2025-02-21T12:00:00,APPROVED,5813.00,grocery,2025-02-28T12:00:00,,
C00167,E014,R00167,2025-07-19T17:00:00,REJECTED,5420.00,hardware,2025-07-26T17:00:00,,
C00168,E020,R00168,2025-08-08T12:00:00,REJECTED,2531.00,fuel,2025-08-11T12:00:00,,
C00169,E025,R00169,2025-05-01T12:00:00,APPROVED,1267.00,food,2025-05-04T12:00:00,,
C00170,E014,R00170,2025-07-23T11:00:00,SUBMITTED,659.00,food,,,
C00171,E001,R00171,2025-01-11T10:00:00,SUBMITTED,1121.00,food,,,
C00172,E013,R00172,2025-03-26T15:00:00,REJECTED,2906.00,fuel,2025-03-31T15:00:00,,
C00173,E013,R00173,2025-04-04T12:00:00,APPROVED,568.00,food,2025-04-07T12:00:00,,
C00174,E006,R00174,2025-05-13T10:00:00,UNDER_REVIEW,4642.00,stationery,,,
C00175,E004,R00175,2025-04-07T16:00:00,APPROVED,1321.00,grocery,2025-04-12T16:00:00,,
C00176,E002,R00176,2025-01-10T15:00:00,REJECTED,305.00,food,2025-01-14T15:00:00,,
C00177,E008,R00177,2025-06-11T18:00:00,APPROVED,721.00,grocery,2025-06-17T18:00:00,,
C00178,E025,R00178,2025-07-03T16:00:00,APPROVED,1928.00,food,2025-07-10T16:00:00,,
C00179,E006,R00179,2025-02-20T10:00:00,APPROVED,2516.00,pharmacy,2025-02-26T10:00:00,,
C00180,E004,R00180,2025-05-10T15:00:00,APPROVED,3716.00,fuel,2025-05-13T15:00:00,,
C00181,E025,R00181,2025-02-04T13:00:00,APPROVED,550.00,food,2025-02-07T13:00:00,,
C00182,E012,R00182,2025-08-20T15:00:00,APPROVED,1337.00,food,2025-08-27T15:00:00,,
C00183,E008,R00183,2025-07-05T15:00:00,APPROVED,1789.00,stationery,2025-07-06T15:00:00,,
C00184,E007,R00184,2025-02-28T09:00:00,APPROVED,8122.00,hotel,2025-03-04T09:00:00,,
C00185,E008,R00185,2025-04-15T12:00:00,UNDER_REVIEW,5576.00,pharmacy,,,
C00186,E004,R00186,2025-04-12T13:00:00,SUBMITTED,6568.00,fuel,,,
C00187,E022,R00187,2025-01-20T12:00:00,APPROVED,289.00,stationery,2025-01-27T12:00:00,,
C00188,E002,R00188,2025-06-12T12:00:00,REJECTED,1596.00,stationery,2025-06-14T12:00:00,,
C00189,E025,R00189,2025-07-02T15:00:00,APPROVED,2590.00,pharmacy,2025-07-09T15:00:00,,
C00190,E004,R00190,2025-02-26T09:00:00,SUBMITTED,2807.00,fuel,,,
C00191,E017,R00191,2025-04-07T17:00:00,SUBMITTED,937.00,grocery,,,
C00192,E011,R00192,2025-06-26T14:00:00,UNDER_REVIEW,993.00,food,,,
C00193,E017,R00193,2025-05-25T14:00:00,UNDER_REVIEW,1818.00,pharmacy,,,
C00194,E008,R00194,2025-08-01T17:00:00,SUBMITTED,1697.00,food,,,
C00195,E004,R00195,2025-03-24T09:00:00,APPROVED,17641.00,printing,2025-03-29T09:00:00,,
C00196,E006,R00196,2025-07-14T16:00:00,APPROVED,2358.00,food,2025-07-16T16:00:00,,
C00197,E015,R00197,2025-01-12T11:00:00,APPROVED,1393.00,pharmacy,2025-01-20T11:00:00,,
C00198,E012,R00198,2025-05-30T12:00:00,APPROVED,3573.00,food,2025-06-06T12:00:00,,
C00199,E011,R00199,2025-06-29T12:00:00,SUBMITTED,1878.00,food,,,
C00200,E022,R00200,2025-05-08T15:00:00,UNDER_REVIEW,976.00,food,,,
C00201,E002,R00201,2025-07-01T17:00:00,SUBMITTED,333.00,pharmacy,,,
C00202,E023,R00202,2025-06-11T15:00:00,SUBMITTED,3031.00,fuel,,,
C00203,E021,R00203,2025-02-08T12:00:00,APPROVED,2529.00,food,2025-02-10T12:00:00,,
C00204,E025,R00204,2025-08-06T11:00:00,UNDER_REVIEW,2047.00,food,,,
C00205,E001,R00205,2025-05-01T14:00:00,REJECTED,1558.00,food,2025-05-06T14:00:00,,
C00206,E004,R00206,2025-07-13T10:00:00,SUBMITTED,1818.00,stationery,,,
C00207,E015,R00207,2025-06-18T09:00:00,APPROVED,1664.00,food,2025-06-19T09:00:00,,
C00208,E010,R00208,2025-04-07T11:00:00,REJECTED,1457.00,grocery,2025-04-11T11:00:00,,
C00209,E001,R00209,2025-01-18T11:00:00,SUBMITTED,2273.00,food,,,
C00210,E005,R00210,2025-07-14T11:00:00,APPROVED,5695.00,fuel,2025-07-21T11:00:00,,
C00211,E014,R00211,2025-02-09T10:00:00,APPROVED,4111.00,stationery,2025-02-16T10:00:00,,
C00212,E012,R00212,2025-07-14T16:00:00,SUBMITTED,1653.00,food,,,
C00213,E005,R00213,2025-05-17T16:00:00,REJECTED,2513.00,stationery,2025-05-23T16:00:00,,
C00214,E020,R00214,2025-07-26T11:00:00,APPROVED,3903.00,hardware,2025-08-01T11:00:00,,
C00215,E009,R00215,2025-02-26T13:00:00,REJECTED,15659.00,printing,2025-03-04T13:00:00,,
C00216,E017,R00216,2025-07-29T12:00:00,APPROVED,1268.00,pharmacy,2025-07-30T12:00:00,,
C00217,E006,R00217,2025-09-13T13:00:00,SUBMITTED,2002.00,grocery,,,
C00218,E025,R00218,2025-01-18T11:00:00,APPROVED,1256.00,grocery,2025-01-23T11:00:00,,
C00219,E008,R00219,2025-07-15T12:00:00,APPROVED,1607.00,stationery,2025-07-16T12:00:00,,
C00220,E020,R00220,2025-09-12T17:00:00,REJECTED,1351.00,food,2025-09-18T17:00:00,,
C00221,E018,R00221,2025-04-25T17:00:00,UNDER_REVIEW,2732.00,pharmacy,,,
C00222,E024,R00222,2025-06-22T15:00:00,SUBMITTED,3146.00,stationery,,,
C00223,E012,R00223,2025-03-13T10:00:00,APPROVED,304.00,grocery,2025-03-16T10:00:00,,
C00224,E010,R00224,2025-06-24T09:00:00,APPROVED,3106.00,food,2025-06-28T09:00:00,,
C00225,E020,R00225,2025-07-12T18:00:00,APPROVED,2134.00,food,2025-07-13T18:00:00,,
C00226,E015,R00226,2025-02-22T11:00:00,SUBMITTED,2131.00,food,,,
C00227,E020,R00227,2025-02-21T15:00:00,APPROVED,1850.00,food,2025-02-23T15:00:00,,
C00228,E023,R00228,2025-06-04T13:00:00,SUBMITTED,3733.00,fuel,,,
C00229,E021,R00229,2025-02-25T18:00:00,REJECTED,7457.00,fuel,2025-02-28T18:00:00,,
C00230,E013,R00230,2025-02-04T14:00:00,SUBMITTED,1252.00,food,,,
C00231,E008,R00231,2025-07-03T15:00:00,SUBMITTED,860.00,food,,,
C00232,E010,R00232,2025-06-10T16:00:00,SUBMITTED,2487.00,food,,,
C00233,E007,R00233,2025-05-30T15:00:00,SUBMITTED,2396.00,pharmacy,,,
C00234,E025,R00234,2025-01-25T15:00:00,APPROVED,6826.00,stationery,2025-02-01T15:00:00,,
C00235,E018,R00235,2025-09-07T13:00:00,UNDER_REVIEW,9323.00,hardware,,,
C00236,E024,R00236,2025-08-02T18:00:00,UNDER_REVIEW,411.00,stationery,,,
C00237,E019,R00237,2025-01-27T09:00:00,APPROVED,17975.00,printing,2025-02-04T09:00:00,,
C00238,E016,R00238,2025-03-31T10:00:00,SUBMITTED,6170.00,fuel,,,
C00239,E007,R00239,2025-04-29T17:00:00,REJECTED,6303.00,stationery,2025-05-03T17:00:00,,
C00240,E003,R00240,2025-04-02T14:00:00,SUBMITTED,334.00,pharmacy,,,
C00241,E014,R00241,2025-07-05T09:00:00,APPROVED,5126.00,grocery,2025-07-11T09:00:00,,
C00242,E011,R00242,2025-04-01T11:00:00,REJECTED,3566.00,food,2025-04-06T11:00:00,,
C00243,E012,R00243,2025-06-05T18:00:00,SUBMITTED,495.00,stationery,,,
C00244,E018,R00244,2025-05-04T12:00:00,SUBMITTED,4864.00,fuel,,,
C00245,E008,R00245,2025-05-15T10:00:00,SUBMITTED,1824.00,pharmacy,,,
C00246,E020,R00246,2025-04-04T16:00:00,REJECTED,1327.00,food,2025-04-05T16:00:00,,
C00247,E005,R00247,2025-04-27T14:00:00,APPROVED,1894.00,grocery,2025-05-04T14:00:00,,
C00248,E006,R00248,2025-09-02T18:00:00,APPROVED,2760.00,food,2025-09-06T18:00:00,,
C00249,E019,R00249,2025-03-01T11:00:00,APPROVED,2207.00,grocery,2025-03-07T11:00:00,,
C00250,E009,R00250,2025-03-20T14:00:00,SUBMITTED,1160.00,grocery,,,
C00251,E024,R00251,2025-02-05T18:00:00,SUBMITTED,5696.00,travel,,,
C00252,E016,R00252,2025-01-24T15:00:00,SUBMITTED,1772.00,fuel,,,
C00253,E022,R00253,2025-04-24T11:00:00,REJECTED,3121.00,pharmacy,2025-05-02T11:00:00,,
C00254,E015,R00254,2025-07-22T16:00:00,UNDER_REVIEW,2472.00,food,,,
C00255,E009,R00255,2025-02-13T09:00:00,UNDER_REVIEW,842.00,food,,,
C00256,E014,R00256,2025-02-08T18:00:00,APPROVED,847.00,pharmacy,2025-02-16T18:00:00,,
C00257,E013,R00257,2025-03-19T17:00:00,REJECTED,3043.00,travel,2025-03-27T17:00:00,,
C00258,E011,R00258,2025-06-12T15:00:00,UNDER_REVIEW,1162.00,food,,,
C00259,E015,R00259,2025-02-24T10:00:00,APPROVED,532.00,fuel,2025-02-25T10:00:00,,
C00260,E014,R00260,2025-06-21T16:00:00,SUBMITTED,2558.00,food,,,
C00261,E024,R00261,2025-02-12T15:00:00,SUBMITTED,1194.00,pharmacy,,,
C00262,E018,R00262,2025-06-29T18:00:00,REJECTED,5803.00,hardware,2025-07-05T18:00:00,,
C00263,E018,R00263,2025-03-21T17:00:00,APPROVED,2407.00,food,2025-03-29T17:00:00,,
C00264,E012,R00264,2025-03-08T13:00:00,APPROVED,195.00,food,2025-03-11T13:00:00,,
C00265,E008,R00265,2025-07-17T16:00:00,APPROVED,3106.00,food,2025-07-22T16:00:00,,
C00266,E004,R00266,2025-06-09T09:00:00,UNDER_REVIEW,3794.00,fuel,,,
C00267,E009,R00267,2025-07-21T09:00:00,SUBMITTED,1702.00,food,,,
C00268,E002,R00268,2025-06-14T10:00:00,UNDER_REVIEW,19521.00,hotel,,,
C00269,E001,R00269,2025-04-19T09:00:00,SUBMITTED,3163.00,fuel,,,
C00270,E016,R00270,2025-08-15T16:00:00,SUBMITTED,14410.00,hotel,,,
C00271,E014,R00271,2025-02-07T12:00:00,SUBMITTED,1870.00,pharmacy,,,
C00272,E014,R00272,2025-03-07T13:00:00,SUBMITTED,202.00,food,,,
C00273,E022,R00273,2025-05-02T12:00:00,REJECTED,1612.00,food,2025-05-05T12:00:00,,
C00274,E023,R00274,2025-05-02T10:00:00,APPROVED,8254.00,travel,2025-05-08T10:00:00,,
C00275,E014,R00275,2025-01-26T16:00:00,REJECTED,2552.00,food,2025-01-31T16:00:00,,
C00276,E004,R00276,2025-02-26T17:00:00,APPROVED,3635.00,grocery,2025-03-04T17:00:00,,
C00277,E023,R00277,2025-08-25T12:00:00,APPROVED,621.00,food,2025-08-31T12:00:00,,
C00278,E011,R00278,2025-01-28T16:00:00,APPROVED,3520.00,food,2025-02-01T16:00:00,,
C00279,E020,R00279,2025-05-08T15:00:00,SUBMITTED,1697.00,pharmacy,,,
C00280,E019,R00280,2025-06-29T13:00:00,SUBMITTED,7644.00,hardware,,,
C00281,E017,R00281,2025-05-27T17:00:00,APPROVED,19776.00,travel,2025-06-04T17:00:00,,
C00282,E005,R00282,2025-02-01T14:00:00,SUBMITTED,3431.00,stationery,,,
C00283,E025,R00283,2025-01-24T11:00:00,SUBMITTED,384.00,grocery,,,
C00284,E010,R00284,2025-01-30T11:00:00,SUBMITTED,590.00,stationery,,,
