receipt_id,image_path,text_path,vendor_name,vendor_canonical,gstin,invoice_no,date,subtotal,cgst,sgst,igst,cess,round_off,total,template_id,noise_tier,rotation_deg
R00046,receipts_images/R00046.png,receipts_text/R00046.txt,Saravana Bhavan,V007,33AAECS7788N1ZJ,TI-2024-46848,2025-02-15,1652.88,41.32,41.32,0.00,0.00,0.48,1736.00,restaurant,1,-0.43
R00047,receipts_images/R00047.png,receipts_text/R00047.txt,Annapurna Restaurant,V002,29AABCA1234M1ZQ,BILL-2025-71676,2025-03-24,1284.23,32.11,32.10,0.00,0.00,-0.44,1348.00,restaurant,1,0.46
R00048,receipts_images/R00048.png,receipts_text/R00048.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,INV-2024-87059,2025-05-16,3254.54,81.37,81.36,0.00,0.00,-0.27,3417.00,retail,3,0.65
R00049,receipts_images/R00049.png,receipts_text/R00049.txt,Bengal Book Depot,V013,19AACCB3456W1ZT,INV-2025-07335,2025-07-03,2972.36,0.00,0.00,535.02,0.00,-0.38,3507.00,retail,3,1.96
R00050,receipts_images/R00050.png,receipts_text/R00050.txt,Kumar Medicals,V006,07AAFCK3321L1ZK,TI-2024-31046,2025-01-10,1544.03,92.64,92.64,0.00,0.00,-0.31,1729.00,retail,0,0.0
R00051,receipts_images/R00051.png,receipts_text/R00051.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,BILL-2024-22911,2025-06-04,1960.66,49.02,49.01,0.00,0.00,0.31,2059.00,retail,1,1.39
R00052,receipts_images/R00052.png,receipts_text/R00052.txt,Bharat Petroleum Outlet,V003,27AAACB1111P1ZW,INV-2024-34353,2025-01-28,2125.17,0.00,0.00,0.00,0.00,-0.17,2125.00,fuel,0,0.0
R00053,receipts_images/R00053.png,receipts_text/R00053.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,TI-2025-49857,2025-07-09,1244.27,31.11,31.10,0.00,0.00,-0.48,1306.00,retail,0,0.0
R00054,receipts_images/R00054.png,receipts_text/R00054.txt,Saravana Bhavan,V007,33AAECS7788N1ZJ,BILL-2025-89470,2025-03-24,1494.91,0.00,0.00,74.75,0.00,0.34,1570.00,restaurant,2,-1.13
R00055,receipts_images/R00055.png,receipts_text/R00055.txt,Park Street Cafe,V014,19AAFCP7890X1ZW,TI-2025-39886,2025-06-09,3869.32,96.74,96.73,0.00,0.00,0.21,4063.00,restaurant,0,0.0
R00056,receipts_images/R00056.png,receipts_text/R00056.txt,Gujarat Enterprises,V011,24AABCG2244U1ZA,BILL-2025-25816,2025-03-13,6786.29,610.77,610.76,0.00,0.00,0.18,8008.00,b2b,0,0.0
R00057,receipts_images/R00057.png,receipts_text/R00057.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,BILL-2025-51524,2025-06-04,3350.07,0.00,0.00,167.50,0.00,0.43,3518.00,retail,1,-1.38
R00058,receipts_images/R00058.png,receipts_text/R00058.txt,Deccan Office Supplies,V010,36AAGCD8899T1Z8,BILL-2025-83349,2025-03-05,2120.09,190.81,190.81,0.00,0.00,0.29,2502.00,b2b,2,0.15
R00059,receipts_images/R00059.png,receipts_text/R00059.txt,Mumbai Print Solutions LLP,V019,27AAFCM4455C1ZM,TI-2024-19536,2025-04-03,2308.73,0.00,0.00,415.57,0.00,-0.30,2724.00,b2b,1,1.05
R00060,receipts_images/R00060.png,receipts_text/R00060.txt,Mumbai Print Solutions LLP,V019,27AAFCM4455C1ZM,BILL-2024-75229,2025-08-24,18791.48,1691.24,1691.23,0.00,0.00,0.05,22174.00,b2b,1,-1.23
R00061,receipts_images/R00061.png,receipts_text/R00061.txt,Annapurna Restaurant,V002,29AABCA1234M1ZQ,BILL-2025-05118,2025-08-31,1669.30,41.74,41.73,0.00,0.00,0.23,1753.00,restaurant,1,-0.17
R00062,receipts_images/R00062.png,receipts_text/R00062.txt,Ganga Departmental Store,V016,09AABCG5566Z1ZD,TI-2025-04827,2025-04-17,1283.88,32.10,32.09,0.00,0.00,-0.07,1348.00,retail,0,0.0
R00063,receipts_images/R00063.png,receipts_text/R00063.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,TI-2024-82482,2025-07-16,2057.36,51.44,51.43,0.00,0.00,-0.23,2160.00,retail,0,0.0
R00064,receipts_images/R00064.png,receipts_text/R00064.txt,Ganga Departmental Store,V016,09AABCG5566Z1ZD,INV-2024-27470,2025-08-11,886.94,22.18,22.17,0.00,0.00,-0.29,931.00,retail,0,0.0
R00065,receipts_images/R00065.png,receipts_text/R00065.txt,Hotel Sunrise Residency,V005,07AACCH9012Q1Z8,INV-2024-99466,2025-07-28,23402.69,1404.16,1404.16,0.00,0.00,-0.01,26211.00,b2b,2,-0.16
R00066,receipts_images/R00066.png,receipts_text/R00066.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,BILL-2025-18008,2025-01-18,383.20,9.58,9.58,0.00,0.00,-0.36,402.00,retail,1,-1.36
R00067,receipts_images/R00067.png,receipts_text/R00067.txt,Hyderabad Biryani House,V009,36AADCH4567S1ZS,INV-2024-14545,2025-03-25,2483.56,62.09,62.09,0.00,0.00,0.26,2608.00,restaurant,2,-1.88
R00068,receipts_images/R00068.png,receipts_text/R00068.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,INV-2025-85728,2025-02-14,372.48,9.31,9.31,0.00,0.00,-0.10,391.00,retail,0,0.0
R00069,receipts_images/R00069.png,receipts_text/R00069.txt,Kumar Medicals,V006,07AAFCK3321L1ZK,TI-2025-91145,2025-06-15,1265.32,75.92,75.92,0.00,0.00,-0.16,1417.00,retail,0,0.0
R00070,receipts_images/R00070.png,receipts_text/R00070.txt,Saravana Bhavan,V007,33AAECS7788N1ZJ,RCPT-2024-44033,2025-05-30,1947.92,48.70,48.70,0.00,0.00,-0.32,2045.00,restaurant,2,0.74
R00071,receipts_images/R00071.png,receipts_text/R00071.txt,Hyderabad Biryani House,V009,36AADCH4567S1ZS,RCPT-2024-22768,2025-05-18,2739.94,0.00,0.00,137.00,0.00,0.06,2877.00,restaurant,2,-0.39
R00072,receipts_images/R00072.png,receipts_text/R00072.txt,Lucknow Travels Agencies,V015,09AAGCL1122Y1ZT,TI-2025-38072,2025-03-26,16714.21,417.86,417.85,0.00,0.00,0.08,17550.00,b2b,0,0.0
R00073,receipts_images/R00073.png,receipts_text/R00073.txt,Bharat Petroleum Outlet,V003,27AAACB1111P1ZW,INV-2024-02541,2025-06-09,2272.20,0.00,0.00,0.00,0.00,-0.20,2272.00,fuel,1,0.08
R00074,receipts_images/R00074.png,receipts_text/R00074.txt,Shell Select Fuel Point,V017,29AAACS9911A1ZI,BILL-2025-66826,2025-02-22,1942.22,0.00,0.00,0.00,0.00,-0.22,1942.00,fuel,1,0.97
R00075,receipts_images/R00075.png,receipts_text/R00075.txt,Annapurna Restaurant,V002,29AABCA1234M1ZQ,RCPT-2025-75949,2025-09-01,2368.21,59.21,59.20,0.00,0.00,0.38,2487.00,restaurant,0,0.0
R00076,receipts_images/R00076.png,receipts_text/R00076.txt,Bharat Petroleum Outlet,V003,27AAACB1111P1ZW,BILL-2025-89354,2025-03-16,7499.39,0.00,0.00,0.00,0.00,-0.39,7499.00,fuel,0,0.0
R00077,receipts_images/R00077.png,receipts_text/R00077.txt,Bengal Book Depot,V013,19AACCB3456W1ZT,RCPT-2024-38829,2025-06-14,908.83,0.00,0.00,163.59,0.00,-0.42,1072.00,retail,1,-0.06
R00078,receipts_images/R00078.png,receipts_text/R00078.txt,Shell Select Fuel Point,V017,29AAACS9911A1ZI,INV-2025-55317,2025-01-13,1187.04,0.00,0.00,0.00,0.00,-0.04,1187.00,fuel,3,2.11
R00079,receipts_images/R00079.png,receipts_text/R00079.txt,Shell Select Fuel Point,V017,29AAACS9911A1ZI,INV-2025-08437,2025-02-02,1706.96,0.00,0.00,0.00,0.00,0.04,1707.00,fuel,0,0.0
R00080,receipts_images/R00080.png,receipts_text/R00080.txt,Deccan Office Supplies,V010,36AAGCD8899T1Z8,RCPT-2024-07236,2025-02-06,4509.71,405.88,405.87,0.00,0.00,-0.46,5321.00,b2b,0,0.0
R00081,receipts_images/R00081.png,receipts_text/R00081.txt,Bengal Book Depot,V013,19AACCB3456W1ZT,RCPT-2024-70267,2025-02-15,973.68,87.63,87.63,0.00,0.00,0.06,1149.00,retail,2,-0.62
R00082,receipts_images/R00082.png,receipts_text/R00082.txt,Park Street Cafe,V014,19AAFCP7890X1ZW,INV-2024-12573,2025-07-13,1671.25,41.78,41.78,0.00,0.00,0.19,1755.00,restaurant,2,0.71
R00083,receipts_images/R00083.png,receipts_text/R00083.txt,Kumar Medicals,V006,07AAFCK3321L1ZK,BILL-2024-70066,2025-02-03,2211.58,132.70,132.69,0.00,0.00,0.03,2477.00,retail,1,-0.58
R00084,receipts_images/R00084.png,receipts_text/R00084.txt,Patel Stores,V012,24AAHCP6677V1Z8,INV-2025-39044,2025-04-12,2212.67,55.32,55.31,0.00,0.00,-0.30,2323.00,retail,0,0.0
R00085,receipts_images/R00085.png,receipts_text/R00085.txt,Shell Select Fuel Point,V017,29AAACS9911A1ZI,RCPT-2025-48146,2025-03-14,946.40,0.00,0.00,0.00,0.00,-0.40,946.00,fuel,1,1.45
R00086,receipts_images/R00086.png,receipts_text/R00086.txt,Park Street Cafe,V014,19AAFCP7890X1ZW,BILL-2025-38189,2025-08-30,2397.80,59.95,59.94,0.00,0.00,0.31,2518.00,restaurant,0,0.0
R00087,receipts_images/R00087.png,receipts_text/R00087.txt,Indian Oil Fuel Station,V008,33AAACI0123R1ZQ,INV-2024-04240,2025-03-27,6522.34,0.00,0.00,0.00,0.00,-0.34,6522.00,fuel,0,0.0
R00088,receipts_images/R00088.png,receipts_text/R00088.txt,Apollo Pharmacy Outlet,V020,33AAACA6677D1ZW,BILL-2025-69483,2025-08-05,1712.40,102.75,102.74,0.00,0.00,0.11,1918.00,retail,0,0.0
R00089,receipts_images/R00089.png,receipts_text/R00089.txt,Deccan Office Supplies,V010,36AAGCD8899T1Z8,INV-2025-58680,2025-05-09,2200.61,198.06,198.05,0.00,0.00,0.28,2597.00,b2b,0,0.0
R00090,receipts_images/R00090.png,receipts_text/R00090.txt,Cafe Coffee Junction,V018,29AAECC2233B1Z7,BILL-2025-45711,2025-07-31,3195.98,79.90,79.90,0.00,0.00,0.22,3356.00,restaurant,3,0.86
R00091,receipts_images/R00091.png,receipts_text/R00091.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,BILL-2025-60942,2025-05-29,4327.09,108.18,108.17,0.00,0.00,-0.44,4543.00,retail,1,0.25
R00092,receipts_images/R00092.png,receipts_text/R00092.txt,Mumbai Print Solutions LLP,V019,27AAFCM4455C1ZM,BILL-2024-54842,2025-08-24,15266.99,1374.03,1374.03,0.00,0.00,-0.05,18015.00,b2b,0,0.0
R00093,receipts_images/R00093.png,receipts_text/R00093.txt,Lucknow Travels Agencies,V015,09AAGCL1122Y1ZT,BILL-2024-79274,2025-01-08,25747.84,643.70,643.69,0.00,0.00,-0.23,27035.00,b2b,0,0.0
R00094,receipts_images/R00094.png,receipts_text/R00094.txt,Saravana Bhavan,V007,33AAECS7788N1ZJ,RCPT-2025-05611,2025-08-24,1537.47,38.44,38.43,0.00,0.00,-0.34,1614.00,restaurant,1,0.46
R00095,receipts_images/R00095.png,receipts_text/R00095.txt,Apollo Pharmacy Outlet,V020,33AAACA6677D1ZW,RCPT-2025-85259,2025-05-16,2675.23,160.52,160.51,0.00,0.00,-0.26,2996.00,retail,0,0.0
R00096,receipts_images/R00096.png,receipts_text/R00096.txt,Hyderabad Biryani House,V009,36AADCH4567S1ZS,RCPT-2024-42553,2025-04-13,3540.13,88.51,88.50,0.00,0.00,-0.14,3717.00,restaurant,3,1.3
R00097,receipts_images/R00097.png,receipts_text/R00097.txt,Annapurna Restaurant,V002,29AABCA1234M1ZQ,RCPT-2025-14084,2025-01-15,209.23,5.23,5.23,0.00,0.00,0.31,220.00,restaurant,2,0.6
R00098,receipts_images/R00098.png,receipts_text/R00098.txt,Sharma Traders Pvt Ltd,V001,29AAGCB7383J1Z4,TI-2025-03394,2025-05-15,492.74,0.00,0.00,88.69,0.00,-0.43,581.00,b2b,0,0.0
R00099,receipts_images/R00099.png,receipts_text/R00099.txt,Hyderabad Biryani House,V009,36AADCH4567S1ZS,BILL-2025-80581,2025-06-08,821.14,20.53,20.53,0.00,0.00,-0.20,862.00,restaurant,3,-0.91
R00100,receipts_images/R00100.png,receipts_text/R00100.txt,Saravana Bhavan,V007,33AAECS7788N1ZJ,TI-2025-28539,2025-01-16,1763.70,44.10,44.09,0.00,0.00,0.11,1852.00,restaurant,0,0.0
R00101,receipts_images/R00101.png,receipts_text/R00101.txt,Mumbai Print Solutions LLP,V019,27AAFCM4455C1ZM,INV-2025-38042,2025-06-14,18027.98,1622.52,1622.52,0.00,0.00,-0.02,21273.00,b2b,0,0.0
R00102,receipts_images/R00102.png,receipts_text/R00102.txt,Indian Oil Fuel Station,V008,33AAACI0123R1ZQ,RCPT-2024-14417,2025-07-10,5150.90,0.00,0.00,0.00,0.00,0.10,5151.00,fuel,0,0.0
R00103,receipts_images/R00103.png,receipts_text/R00103.txt,Indian Oil Fuel Station,V008,33AAACI0123R1ZQ,TI-2025-05629,2025-06-28,5397.28,0.00,0.00,0.00,0.00,-0.28,5397.00,fuel,0,0.0
R00104,receipts_images/R00104.png,receipts_text/R00104.txt,Annapurna Restaurant,V002,29AABCA1234M1ZQ,TI-2024-89785,2025-01-10,329.52,8.24,8.24,0.00,0.00,0.00,346.00,restaurant,0,0.0
R00105,receipts_images/R00105.png,receipts_text/R00105.txt,Apollo Pharmacy Outlet,V020,33AAACA6677D1ZW,BILL-2024-22008,2025-06-17,2185.42,131.13,131.12,0.00,0.00,0.33,2448.00,retail,0,0.0
R00106,receipts_images/R00106.png,receipts_text/R00106.txt,Saravana Bhavan,V007,33AAECS7788N1ZJ,INV-2024-79896,2025-08-22,1265.64,31.64,31.64,0.00,0.00,0.08,1329.00,restaurant,0,0.0
R00107,receipts_images/R00107.png,receipts_text/R00107.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,RCPT-2024-02514,2025-04-27,154.82,3.87,3.87,0.00,0.00,0.44,163.00,retail,0,0.0
R00108,receipts_images/R00108.png,receipts_text/R00108.txt,Mumbai Print Solutions LLP,V019,27AAFCM4455C1ZM,INV-2025-71746,2025-08-07,14073.27,1266.60,1266.59,0.00,0.00,-0.46,16606.00,b2b,2,1.65
R00109,receipts_images/R00109.png,receipts_text/R00109.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,INV-2025-84124,2025-04-17,1407.00,35.18,35.17,0.00,0.00,-0.35,1477.00,retail,2,0.85
R00110,receipts_images/R00110.png,receipts_text/R00110.txt,Park Street Cafe,V014,19AAFCP7890X1ZW,BILL-2024-96669,2025-03-28,854.78,21.37,21.37,0.00,0.00,0.48,898.00,restaurant,1,-0.2
R00111,receipts_images/R00111.png,receipts_text/R00111.txt,Cafe Coffee Junction,V018,29AAECC2233B1Z7,INV-2025-73230,2025-07-29,333.86,8.35,8.34,0.00,0.00,0.45,351.00,restaurant,2,0.52
R00112,receipts_images/R00112.png,receipts_text/R00112.txt,Kumar Medicals,V006,07AAFCK3321L1ZK,INV-2025-52372,2025-03-07,1395.07,83.71,83.70,0.00,0.00,-0.48,1562.00,retail,0,0.0
R00113,receipts_images/R00113.png,receipts_text/R00113.txt,Patel Stores,V012,24AAHCP6677V1Z8,RCPT-2024-48643,2025-05-25,4083.52,102.09,102.09,0.00,0.00,0.30,4288.00,retail,0,0.0
R00114,receipts_images/R00114.png,receipts_text/R00114.txt,Mumbai Print Solutions LLP,V019,27AAFCM4455C1ZM,RCPT-2024-02648,2025-07-10,11224.34,0.00,0.00,2020.38,0.00,0.28,13245.00,b2b,1,0.03
R00115,receipts_images/R00115.png,receipts_text/R00115.txt,Gujarat Enterprises,V011,24AABCG2244U1ZA,INV-2025-55125,2025-08-05,8879.11,799.12,799.12,0.00,0.00,-0.35,10477.00,b2b,0,0.0
R00116,receipts_images/R00116.png,receipts_text/R00116.txt,Patel Stores,V012,24AAHCP6677V1Z8,RCPT-2025-37219,2025-01-20,1947.48,0.00,0.00,97.37,0.00,0.15,2045.00,retail,0,0.0
R00117,receipts_images/R00117.png,receipts_text/R00117.txt,Park Street Cafe,V014,19AAFCP7890X1ZW,BILL-2025-76375,2025-09-01,922.44,23.06,23.06,0.00,0.00,0.44,969.00,restaurant,0,0.0
R00118,receipts_images/R00118.png,receipts_text/R00118.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,BILL-2024-00970,2025-06-05,2745.33,68.64,68.63,0.00,0.00,0.40,2883.00,retail,0,0.0
R00119,receipts_images/R00119.png,receipts_text/R00119.txt,Hotel Sunrise Residency,V005,07AACCH9012Q1Z8,TI-2025-56441,2025-01-29,8896.45,533.79,533.78,0.00,0.00,-0.02,9964.00,b2b,3,0.39
R00120,receipts_images/R00120.png,receipts_text/R00120.txt,Gujarat Enterprises,V011,24AABCG2244U1ZA,BILL-2025-22954,2025-03-12,8306.50,747.59,747.58,0.00,0.00,0.33,9802.00,b2b,2,2.36
