receipt_id,line_no,text,role
R00007,10,Sunflower Oil 1L           4          515.32,ITEM
R00007,11,Sunflower Oil 1L           4          695.12,ITEM
R00007,12,Sugar 1kg                  1           52.19,ITEM
R00007,13,"Basmati Rice 5kg           3        1,473.54",ITEM
R00007,14,Milk 1L                    4          244.92,ITEM
R00007,15,--------------------------------------------,OTHER
R00007,16,"Sub Total:                          3,082.27",SUBTOTAL
R00007,17,CGST @ 2.5%:                           77.06,TAX
R00007,18,SGST @ 2.5%:                           77.05,TAX
R00007,19,Round Off:                             -0.38,TAX
R00007,20,"Grand Total:                       ₹3,236.00",TOTAL
R00007,21,--------------------------------------------,OTHER
R00007,22,Thank you for your business,FOOTER
R00007,23,Card Payment,FOOTER
R00008,0,PATEL STORES,VENDOR
R00008,1,"31 Adajan, Surat 395007",ADDRESS
R00008,2,Ph: 9825099001,ADDRESS
R00008,3,GST Reg No: 24AAHCP6677V1Z8,GSTIN
R00008,4,GST INVOICE,OTHER
R00008,5,--------------------------------------------,OTHER
R00008,6,Dated: 16.05.2025,DATE
R00008,7,Inv No: TI-2025-44869,INVOICE
R00008,8,--------------------------------------------,OTHER
R00008,9,Item                     Qty          Amount,OTHER
R00008,10,Atta 5kg                   2          464.22,ITEM
R00008,11,"Basmati Rice 5kg           3        1,828.56",ITEM
R00008,12,Sunflower Oil 1L           2          282.02,ITEM
R00008,13,Sugar 1kg                  1           59.46,ITEM
R00008,14,Sugar 1kg                  3          156.18,ITEM
R00008,15,--------------------------------------------,OTHER
R00008,16,Total Qty: 11,OTHER
R00008,17,"Taxable Value:                      2,790.44",SUBTOTAL
R00008,18,CGST @ 2.5%:                           69.76,TAX
R00008,19,SGST @ 2.5%:                           69.76,TAX
R00008,20,Rounding:                               0.04,TAX
R00008,21,"Bill Total:                         2,930.00",TOTAL
R00008,22,--------------------------------------------,OTHER
R00008,23,Goods once sold will not be taken back,FOOTER
R00009,0,ANNAPURNA RESTAURANT,VENDOR
R00009,1,"22 Koramangala 5th Blk, Bengaluru 560034",ADDRESS
R00009,2,Ph: 9845112233,ADDRESS
R00009,3,GST Reg No: 29AABCA1234M1ZQ,GSTIN
R00009,4,RETAIL INVOICE,OTHER
R00009,5,--------------------------------------------,OTHER
R00009,6,Date of Supply: 01-07-2025,DATE
R00009,7,Invoice No: TI-2025-33067,INVOICE
R00009,8,Table: 9   Covers: 4,OTHER
R00009,9,--------------------------------------------,OTHER
R00009,10,Item                     Qty          Amount,OTHER
R00009,11,Masala Dosa                3          449.01,ITEM
R00009,12,Masala Dosa                3          312.24,ITEM
R00009,13,Veg Thali                  1          184.34,ITEM
R00009,14,Butter Naan                4          188.16,ITEM
R00009,15,Filter Coffee              4          224.44,ITEM
R00009,16,--------------------------------------------,OTHER
R00009,17,"Taxable Value:                      1,358.19",SUBTOTAL
R00009,18,CGST @ 2.5%:                           33.96,TAX
R00009,19,SGST @ 2.5%:                           33.95,TAX
R00009,20,Round Off:                             -0.10,TAX
R00009,21,"Total Amount:                      ₹1,426.00",TOTAL
R00009,22,--------------------------------------------,OTHER
R00009,23,Goods once sold will not be taken back,FOOTER
R00010,0,Deccan Office Supplies,VENDOR
R00010,1,"12 Madhapur, Hyderabad 500032",ADDRESS
R00010,2,Ph: 9848077665,ADDRESS
R00010,3,GST Reg No: 36AAGCD8899T1Z8,GSTIN
R00010,4,GST INVOICE,OTHER
R00010,5,--------------------------------------------,OTHER
R00010,6,Invoice Date: 13/05/2025,DATE
R00010,7,Inv No: INV-2024-40145,INVOICE
R00010,8,--------------------------------------------,OTHER
R00010,9,Item                     Qty          Amount,OTHER
R00010,10,Marker Pen                 3          151.26,ITEM
R00010,11,A4 Paper Ream              4          868.52,ITEM
R00010,12,--------------------------------------------,OTHER
R00010,13,"Taxable Amount:                     1,019.78",SUBTOTAL
R00010,14,IGST @ 18%:                           183.56,TAX
R00010,15,Round Off Adj:                         -0.34,TAX
R00010,16,"Total Amount:                       1,203.00",TOTAL
R00010,17,--------------------------------------------,OTHER
R00010,18,Subject to local jurisdiction,FOOTER
R00010,19,Card Payment,FOOTER
R00011,0,Deccan Office Supplies,VENDOR
R00011,1,"12 Madhapur, Hyderabad 500032",ADDRESS
R00011,2,GSTIN: 36AAGCD8899T1Z8,GSTIN
R00011,3,GST INVOICE,OTHER
R00011,4,--------------------------------------------,OTHER
R00011,5,Date: 26.07.2025,DATE
R00011,6,Invoice No: RCPT-2025-11579,INVOICE
R00011,7,--------------------------------------------,OTHER
R00011,8,Item                     Qty          Amount,OTHER
R00011,9,Marker Pen                 4          227.88,ITEM
R00011,10,A4 Paper Ream              3          768.42,ITEM
R00011,11,A4 Paper Ream              2          506.32,ITEM
R00011,12,File Folder                1           79.33,ITEM
R00011,13,--------------------------------------------,OTHER
R00011,14,Total Qty: 10,OTHER
R00011,15,"Taxable Amount:                     1,581.95",SUBTOTAL
R00011,16,CGST @ 9%:                            142.38,TAX
R00011,17,SGST @ 9%:                            142.37,TAX
R00011,18,Round Off:                              0.30,TAX
R00011,19,"Net Payable:                       ₹1,867.00",TOTAL
R00011,20,--------------------------------------------,OTHER
R00011,21,*** CUSTOMER COPY ***,FOOTER
R00011,22,UPI Payment,FOOTER
R00012,0,PATEL STORES,VENDOR
R00012,1,"31 Adajan, Surat 395007",ADDRESS
R00012,2,Ph: 9825099001,ADDRESS
R00012,3,GST Reg No: 24AAHCP6677V1Z8,GSTIN
R00012,4,RETAIL INVOICE,OTHER
R00012,5,--------------------------------------------,OTHER
R00012,6,"Date: Mar 14, 2025",DATE
R00012,7,Invoice Number: BILL-2024-65784,INVOICE
R00012,8,--------------------------------------------,OTHER
R00012,9,Item                     Qty          Amount,OTHER
R00012,10,"Basmati Rice 5kg           4        1,959.64",ITEM
R00012,11,Sugar 1kg                  1           47.71,ITEM
R00012,12,Sugar 1kg                  2           94.38,ITEM
R00012,13,Basmati Rice 5kg           1          423.90,ITEM
R00012,14,Atta 5kg                   1          240.61,ITEM
R00012,15,Milk 1L                    3          167.79,ITEM
R00012,16,--------------------------------------------,OTHER
R00012,17,Total Qty: 12,OTHER
R00012,18,"Taxable Amount:                     2,934.03",SUBTOTAL
R00012,19,IGST @ 5%:                            146.70,TAX
R00012,20,Round Off:                              0.27,TAX
R00012,21,"Grand Total:                        3,081.00",TOTAL
R00012,22,--------------------------------------------,OTHER
R00012,23,Subject to local jurisdiction,FOOTER
R00013,0,Lucknow Travels Agencies,VENDOR
R00013,1,"3 Hazratganj, Lucknow 226001",ADDRESS
R00013,2,Ph: 9839011223,ADDRESS
R00013,3,GST Reg No: 09AAGCL1122Y1ZT,GSTIN
R00013,4,RETAIL INVOICE,OTHER
R00013,5,--------------------------------------------,OTHER
R00013,6,Date: 06-06-2025,DATE
R00013,7,Inv No: TI-2024-87611,INVOICE
R00013,8,--------------------------------------------,OTHER
R00013,9,Item                     Qty          Amount,OTHER
R00013,10,"Outstation Cab             2        7,258.10",ITEM
R00013,11,City Taxi                  2          603.28,ITEM
R00013,12,City Taxi                  1          307.54,ITEM
R00013,13,--------------------------------------------,OTHER
R00013,14,Total Qty: 5,OTHER
R00013,15,"Sub Total:                          8,168.92",SUBTOTAL
R00013,16,CGST @ 2.5%:                          204.23,TAX
R00013,17,SGST @ 2.5%:                          204.22,TAX
R00013,18,Rounding:                              -0.37,TAX
R00013,19,"Grand Total:                       ₹8,577.00",TOTAL
R00013,20,--------------------------------------------,OTHER
R00013,21,THANK YOU VISIT AGAIN,FOOTER
R00013,22,Card Payment,FOOTER
R00014,0,BHARAT PETROLEUM OUTLET,VENDOR
R00014,1,"NH-8 Bandra East, Mumbai 400051",ADDRESS
R00014,2,Ph: 9820011122,ADDRESS
R00014,3,GSTIN/UIN: 27AAACB1111P1ZW,GSTIN
R00014,4,RETAIL INVOICE,OTHER
R00014,5,--------------------------------------------,OTHER
R00014,6,Bill No: TI-2024-53876,INVOICE
R00014,7,"Date: Jun 12, 2025",DATE
R00014,8,--------------------------------------------,OTHER
R00014,9,Product                 Litres          Amount,OTHER
R00014,10,"Petrol                    17        1,634.21",ITEM
R00014,11,--------------------------------------------,OTHER
R00014,12,"Subtotal:                           1,634.21",SUBTOTAL
R00014,13,Round Off Adj:                         -0.21,TAX
R00014,14,"Bill Total:                        ₹1,634.00",TOTAL
R00014,15,--------------------------------------------,OTHER
R00014,16,Goods once sold will not be taken back,FOOTER
R00015,0,Gujarat Enterprises,VENDOR
R00015,1,"7 CG Road, Ahmedabad 380009",ADDRESS
R00015,2,Ph: 9825011234,ADDRESS
R00015,3,GST No.: 24AABCG2244U1ZA,GSTIN
R00015,4,TAX INVOICE,OTHER
R00015,5,--------------------------------------------,OTHER
R00015,6,Invoice Date: 04-06-2025,DATE
R00015,7,Invoice Number: RCPT-2024-82269,INVOICE
R00015,8,--------------------------------------------,OTHER
R00015,9,Item                     Qty          Amount,OTHER
R00015,10,"Keyboard                   4        6,123.28",ITEM
R00015,11,"Keyboard                   3        3,770.19",ITEM
R00015,12,"Keyboard                   4        3,566.36",ITEM
R00015,13,--------------------------------------------,OTHER
R00015,14,"Taxable Amount:                    13,459.83",SUBTOTAL
R00015,15,"CGST @ 9%:                          1,211.39",TAX
R00015,16,"SGST @ 9%:                          1,211.38",TAX
R00015,17,Rounding:                               0.40,TAX
R00015,18,"Total:                            ₹15,883.00",TOTAL
R00015,19,--------------------------------------------,OTHER
R00015,20,Subject to local jurisdiction,FOOTER
R00016,0,CAFE COFFEE JUNCTION,VENDOR
R00016,1,"8 Indiranagar, Bengaluru 560095",ADDRESS
R00016,2,Ph: 9845033445,ADDRESS
R00016,3,GST Reg No: 29AAECC2233B1Z7,GSTIN
R00016,4,RETAIL INVOICE,OTHER
R00016,5,--------------------------------------------,OTHER
R00016,6,Bill Date: 20/01/2025,DATE
R00016,7,Inv No: BILL-2024-40903,INVOICE
R00016,8,--------------------------------------------,OTHER
R00016,9,Item                     Qty          Amount,OTHER
R00016,10,"Biryani                    4        1,301.56",ITEM
R00016,11,Butter Naan                3          147.60,ITEM
R00016,12,Filter Coffee              3          147.87,ITEM
R00016,13,--------------------------------------------,OTHER
R00016,14,"Taxable Amount:                     1,597.03",SUBTOTAL
R00016,15,CGST @ 2.5%:                           39.93,TAX
R00016,16,SGST @ 2.5%:                           39.92,TAX
R00016,17,Round Off:                              0.12,TAX
R00016,18,"Grand Total:                        1,677.00",TOTAL
R00016,19,--------------------------------------------,OTHER
R00016,20,THANK YOU VISIT AGAIN,FOOTER
R00016,21,Cash Payment,FOOTER
R00017,0,INDIAN OIL FUEL STATION,VENDOR
R00017,1,"OMR Perungudi, Chennai 600096",ADDRESS
R00017,2,Ph: 9840055667,ADDRESS
R00017,3,GSTIN/UIN: 33AAACI0123R1ZQ,GSTIN
R00017,4,TAX INVOICE,OTHER
R00017,5,--------------------------------------------,OTHER
R00017,6,Inv No: BILL-2025-84965,INVOICE
R00017,7,Invoice Date: 21.04.2025,DATE
R00017,8,--------------------------------------------,OTHER
R00017,9,Product                 Litres          Amount,OTHER
R00017,10,"Petrol                    38        3,895.38",ITEM
R00017,11,--------------------------------------------,OTHER
R00017,12,"Taxable Amount:                     3,895.38",SUBTOTAL
R00017,13,Rounding:                              -0.38,TAX
R00017,14,"Grand Total:                       ₹3,895.00",TOTAL
R00017,15,--------------------------------------------,OTHER
R00017,16,Thank you for your business,FOOTER
R00018,0,RELIANCE FRESH SUPERMARKET,VENDOR
R00018,1,"Shop 4 Kurla West, Mumbai 400070",ADDRESS
R00018,2,Ph: 9820044556,ADDRESS
R00018,3,GST Reg No: 27AAACR5055K1Z7,GSTIN
R00018,4,RETAIL INVOICE,OTHER
R00018,5,--------------------------------------------,OTHER
R00018,6,Date of Supply: 08/03/2025,DATE
R00018,7,Invoice No: BILL-2024-24585,INVOICE
R00018,8,--------------------------------------------,OTHER
R00018,9,Item                     Qty          Amount,OTHER
R00018,10,"Basmati Rice 5kg           3        1,329.90",ITEM
R00018,11,Atta 5kg                   2          660.54,ITEM
R00018,12,Sunflower Oil 1L           3          510.93,ITEM
R00018,13,--------------------------------------------,OTHER
R00018,14,"Taxable Value:                      2,501.37",SUBTOTAL
R00018,15,CGST @ 2.5%:                           62.54,TAX
R00018,16,SGST @ 2.5%:                           62.53,TAX
R00018,17,Round Off:                             -0.44,TAX
R00018,18,"Bill Total:                         2,626.00",TOTAL
R00018,19,--------------------------------------------,OTHER
R00018,20,Goods once sold will not be taken back,FOOTER
R00018,21,Cash Payment,FOOTER
R00019,0,Mumbai Print Solutions LLP,VENDOR
R00019,1,"21 Lower Parel, Mumbai 400013",ADDRESS
R00019,2,GSTIN: 27AAFCM4455C1ZM,GSTIN
R00019,3,TAX INVOICE,OTHER
R00019,4,--------------------------------------------,OTHER
R00019,5,Invoice Number: RCPT-2024-86458,INVOICE
R00019,6,Invoice Date: 2025-02-28,DATE
R00019,7,--------------------------------------------,OTHER
R00019,8,Item                     Qty          Amount,OTHER
R00019,9,"Business Cards 500         4        2,122.12",ITEM
R00019,10,"Brochure Print 100         3        4,650.57",ITEM
R00019,11,Poster A2                  3          784.47,ITEM
R00019,12,Poster A2                  1          358.21,ITEM
R00019,13,--------------------------------------------,OTHER
R00019,14,Total Qty: 11,OTHER
R00019,15,"Total Before Tax:                   7,915.37",SUBTOTAL
R00019,16,"IGST @ 18%:                         1,424.77",TAX
R00019,17,Round Off:                             -0.14,TAX
R00019,18,"Grand Total:                        9,340.00",TOTAL
R00019,19,--------------------------------------------,OTHER
R00019,20,THANK YOU VISIT AGAIN,FOOTER
R00019,21,Cash Payment,FOOTER
R00020,0,Hotel Sunrise Residency,VENDOR
R00020,1,"9 Connaught Place, New Delhi 110001",ADDRESS
R00020,2,Ph: 9811023456,ADDRESS
R00020,3,GSTIN: 07AACCH9012Q1Z8,GSTIN
R00020,4,GST INVOICE,OTHER
R00020,5,--------------------------------------------,OTHER
R00020,6,Bill No: INV-2024-52776,INVOICE
R00020,7,"Date of Supply: May 03, 2025",DATE
R00020,8,--------------------------------------------,OTHER
R00020,9,Item                     Qty          Amount,OTHER
R00020,10,"Deluxe Room Night          2        6,859.84",ITEM
R00020,11,"Deluxe Room Night          3       14,183.79",ITEM
R00020,12,"Breakfast Buffet           4        2,159.88",ITEM
R00020,13,"Breakfast Buffet           2        1,528.10",ITEM
R00020,14,Laundry Service            1          422.22,ITEM
R00020,15,"Breakfast Buffet           4        2,929.76",ITEM
R00020,16,--------------------------------------------,OTHER
R00020,17,"Taxable Value:                     28,083.59",SUBTOTAL
R00020,18,"CGST @ 6%:                          1,685.02",TAX
R00020,19,"SGST @ 6%:                          1,685.01",TAX
R00020,20,Rounding:                               0.38,TAX
R00020,21,"Amount Payable:                   ₹31,454.00",TOTAL
R00020,22,--------------------------------------------,OTHER
R00020,23,Subject to local jurisdiction,FOOTER
R00020,24,UPI Payment,FOOTER
R00021,0,PARK STREET CAFE,VENDOR
R00021,1,"40 Park Street, Kolkata 700017",ADDRESS
R00021,2,Ph: 9830044332,ADDRESS
R00021,3,GST No.: 19AAFCP7890X1ZW,GSTIN
R00021,4,TAX INVOICE,OTHER
R00021,5,--------------------------------------------,OTHER
R00021,6,Bill No: TI-2025-91166,INVOICE
R00021,7,Date: 28-06-2025,DATE
R00021,8,Table: 15   Covers: 3,OTHER
R00021,9,--------------------------------------------,OTHER
R00021,10,Item                     Qty          Amount,OTHER
R00021,11,Masala Dosa                4          432.16,ITEM
R00021,12,Butter Naan                4          174.44,ITEM
R00021,13,Veg Thali                  1          247.03,ITEM
R00021,14,Biryani                    3          596.04,ITEM
R00021,15,Biryani                    3          591.27,ITEM
R00021,16,Butter Naan                4          267.64,ITEM
R00021,17,--------------------------------------------,OTHER
R00021,18,"Sub Total:                          2,308.58",SUBTOTAL
R00021,19,IGST @ 5%:                            115.43,TAX
R00021,20,Round Off:                             -0.01,TAX
R00021,21,"Total Amount:                      ₹2,424.00",TOTAL
R00021,22,--------------------------------------------,OTHER
R00021,23,Thank you for your business,FOOTER
R00022,0,Hotel Sunrise Residency,VENDOR
R00022,1,"9 Connaught Place, New Delhi 110001",ADDRESS
R00022,2,Ph: 9811023456,ADDRESS
R00022,3,GST No.: 07AACCH9012Q1Z8,GSTIN
R00022,4,TAX INVOICE,OTHER
R00022,5,--------------------------------------------,OTHER
R00022,6,Invoice Number: TI-2025-43460,INVOICE
R00022,7,Date: 15-May-2025,DATE
R00022,8,--------------------------------------------,OTHER
R00022,9,Item                     Qty          Amount,OTHER
R00022,10,Breakfast Buffet           1          664.48,ITEM
R00022,11,"Deluxe Room Night          4       23,312.64",ITEM
R00022,12,"Laundry Service            4        1,822.56",ITEM
R00022,13,Breakfast Buffet           1          467.16,ITEM
R00022,14,Laundry Service            1          376.07,ITEM
R00022,15,--------------------------------------------,OTHER
R00022,16,"Taxable Value:                     26,642.91",SUBTOTAL
R00022,17,"CGST @ 6%:                          1,598.58",TAX
R00022,18,"SGST @ 6%:                          1,598.57",TAX
R00022,19,Rounding:                              -0.06,TAX
R00022,20,"Grand Total:                      ₹29,840.00",TOTAL
R00022,21,--------------------------------------------,OTHER
R00022,22,Goods once sold will not be taken back,FOOTER
R00022,23,Card Payment,FOOTER
R00023,0,HYDERABAD BIRYANI HOUSE,VENDOR
R00023,1,"5 Gachibowli, Hyderabad 500081",ADDRESS
R00023,2,Ph: 9848012345,ADDRESS
R00023,3,GST Reg No: 36AADCH4567S1ZS,GSTIN
R00023,4,RETAIL INVOICE,OTHER
R00023,5,--------------------------------------------,OTHER
R00023,6,"Dated: Sep 01, 2025",DATE
R00023,7,Receipt No: INV-2025-13283,INVOICE
R00023,8,Table: 16   Covers: 6,OTHER
R00023,9,--------------------------------------------,OTHER
R00023,10,Item                     Qty          Amount,OTHER
R00023,11,Masala Dosa                4          561.24,ITEM
R00023,12,Filter Coffee              2           78.86,ITEM
R00023,13,Biryani                    4          852.64,ITEM
R00023,14,--------------------------------------------,OTHER
R00023,15,"Taxable Value:                      1,492.74",SUBTOTAL
R00023,16,CGST @ 2.5%:                           37.32,TAX
R00023,17,SGST @ 2.5%:                           37.32,TAX
R00023,18,Rounding:                              -0.38,TAX
R00023,19,"Amount Payable:                     1,567.00",TOTAL
R00023,20,--------------------------------------------,OTHER
R00023,21,Goods once sold will not be taken back,FOOTER
R00024,0,BHARAT PETROLEUM OUTLET,VENDOR
R00024,1,"NH-8 Bandra East, Mumbai 400051",ADDRESS
R00024,2,Ph: 9820011122,ADDRESS
R00024,3,GSTIN/UIN: 27AAACB1111P1ZW,GSTIN
R00024,4,RETAIL INVOICE,OTHER
R00024,5,--------------------------------------------,OTHER
R00024,6,Invoice Date: 17.07.2025,DATE
R00024,7,Invoice Number: INV-2024-83713,INVOICE
R00024,8,--------------------------------------------,OTHER
R00024,9,Product                 Litres          Amount,OTHER
R00024,10,"Petrol                    26        2,704.52",ITEM
R00024,11,"CNG                       27        2,025.54",ITEM
R00024,12,--------------------------------------------,OTHER
R00024,13,"Sub Total:                          4,730.06",SUBTOTAL
R00024,14,Round Off Adj:                         -0.06,TAX
R00024,15,"Grand Total:                        4,730.00",TOTAL
R00024,16,--------------------------------------------,OTHER
R00024,17,Subject to local jurisdiction,FOOTER
R00024,18,UPI Payment,FOOTER
R00025,0,GANGA DEPARTMENTAL STORE,VENDOR
R00025,1,"17 Mall Road, Kanpur 208001",ADDRESS
R00025,2,Ph: 9839066554,ADDRESS
R00025,3,GST Reg No: 09AABCG5566Z1ZD,GSTIN
R00025,4,TAX INVOICE,OTHER
R00025,5,--------------------------------------------,OTHER
R00025,6,Invoice Date: 2025-06-27,DATE
R00025,7,Cash Memo No: TI-2025-07151,INVOICE
R00025,8,--------------------------------------------,OTHER
R00025,9,Item                     Qty          Amount,OTHER
R00025,10,Atta 5kg                   3          748.59,ITEM
R00025,11,Milk 1L                    3          203.85,ITEM
R00025,12,Milk 1L                    4          277.40,ITEM
R00025,13,Milk 1L                    4          239.12,ITEM
R00025,14,Sugar 1kg                  2          112.92,ITEM
R00025,15,--------------------------------------------,OTHER
R00025,16,"Taxable Amount:                     1,581.88",SUBTOTAL
R00025,17,CGST @ 2.5%:                           39.55,TAX
R00025,18,SGST @ 2.5%:                           39.54,TAX
R00025,19,Round Off:                              0.03,TAX
R00025,20,"Grand Total:                        1,661.00",TOTAL
