receipt_id,image_path,text_path,vendor_name,vendor_canonical,gstin,invoice_no,date,subtotal,cgst,sgst,igst,cess,round_off,total,template_id,noise_tier,rotation_deg
P00051,,receipts_text/P00051.txt,Bharat Petroleum Outlet,V003,,8825257795729667,2026-01-09,,,,,,,2000,pump-plain,0,0.0
P00052,,receipts_text/P00052.txt,VAYU FUELS,VAYU FUELS,36NJKEM0769D1ZF,06542219288535005,2025-04-05,254.24,22.88,22.88,,,,300,pump-gst,2,0.0
P00053,,receipts_text/P00053.txt,Hindustan Petroleum Outlet,V021,19GCESC0857K1Z8,80114850337736161,2025-05-06,1055.27,94.98,94.98,,,,1245.23,pump-gst,0,0.0
P00054,,receipts_text/P00054.txt,Shell Select Fuel Point,V017,24PLRBL0790H1Z9,671094827629005,2025-12-26,1271.18,114.41,114.41,,,,1500,pump-gst,0,0.0
P00055,,receipts_text/P00055.txt,Bharat Petroleum Outlet,V003,33HSENW4677V1ZE,389804498437,2025-10-22,256.41,,,,,,300,pump-vat,0,0.0
P00056,,receipts_text/P00056.txt,Shell Select Fuel Point,V017,,49897884480099,2025-08-16,,,,,,,2144.19,pump-plain,1,0.0
P00057,,receipts_text/P00057.txt,KAVERI PETRO,KAVERI PETRO,24SPSRA1753D1ZM,93668885771920836,2026-01-13,1271.18,114.41,114.41,,,,1500,pump-gst,1,0.0
P00058,,receipts_text/P00058.txt,Hindustan Petroleum Outlet,V021,19PDLUF6291J1ZD,94141818228052,2025-10-08,256.57,23.09,23.09,,,,302.75,pump-gst,3,0.0
P00059,,receipts_text/P00059.txt,Bharat Petroleum Outlet,V003,,2034624198558090,2026-03-16,,,,,,,100,pump-plain,0,0.0
P00060,,receipts_text/P00060.txt,Bharat Petroleum Outlet,V003,09BFUET4660R1ZP,5296149486898639,2025-12-28,500.00,45.00,45.00,,,,590,pump-gst,3,0.0
P00061,,receipts_text/P00061.txt,Shell Select Fuel Point,V017,27NGWFC1027T1ZZ,617128376556,2026-01-05,2720.77,,,,,,3183.30,pump-vat,0,0.0
P00062,,receipts_text/P00062.txt,Hindustan Petroleum Outlet,V021,,912670049937,2025-02-13,427.35,,,,,,500,pump-vat,2,0.0
P00063,,receipts_text/P00063.txt,Konark Oil,Konark Oil,07RHSTW9586B1ZR,30734920621021,2025-05-08,,,,,,,500,pump-plain,2,0.0
P00064,,receipts_text/P00064.txt,NILGIRI ENERGY,NILGIRI ENERGY,,67975012921692821,2026-06-27,,,,,,,2734.24,pump-plain,1,0.0
P00065,,receipts_text/P00065.txt,KAVERI PETRO,KAVERI PETRO,33MUAWB9527T1ZH,213993250753155,2025-03-09,,,,,,,2805.31,pump-plain,2,0.0
P00066,,receipts_text/P00066.txt,Hindustan Petroleum Outlet,V021,27EFAMD8192G1ZJ,31580621991883705,2025-01-21,1694.92,152.54,152.54,,,,2000,pump-gst,3,0.0
P00067,,receipts_text/P00067.txt,Nayara Energy Outlet,V022,36PPADE4718N1Z3,8466846972545282,2025-10-02,169.49,15.26,15.25,,,,200,pump-gst,0,0.0
P00068,,receipts_text/P00068.txt,GANGA PETROCHEM,GANGA PETROCHEM,,29864811933586059,2025-06-09,,,,,,,590,pump-plain,0,0.0
P00069,,receipts_text/P00069.txt,KAVERI PETRO,KAVERI PETRO,07JBMHC7665L1ZD,5039444348760882,2025-10-29,3361.41,302.53,302.53,,,,3966.47,pump-gst,3,0.0
P00070,,receipts_text/P00070.txt,Bharat Petroleum Outlet,V003,,484631904240383,2025-02-28,,,,,,,4047.44,pump-plain,0,0.0
P00071,,receipts_text/P00071.txt,NILGIRI ENERGY,NILGIRI ENERGY,,78659618634686,2025-06-07,,,,,,,1181.18,pump-plain,0,0.0
P00072,,receipts_text/P00072.txt,SAHYADRI ENERGY,SAHYADRI ENERGY,,178955380130295,2025-05-01,,,,,,,1500,pump-plain,1,0.0
P00073,,receipts_text/P00073.txt,Bharat Petroleum Outlet,V003,36GTJGC1996J1ZP,8241583367810261,2025-09-05,,,,,,,3235.73,pump-plain,2,0.0
P00074,,receipts_text/P00074.txt,Shell Select Fuel Point,V017,,98070398836111281,2026-05-15,504.27,,,,,,590,pump-vat,0,0.0
P00075,,receipts_text/P00075.txt,Indian Oil Fuel Station,V008,,0239469081542945,2025-10-14,1317.91,,,,,,1541.96,pump-vat,2,0.0
P00076,,receipts_text/P00076.txt,NILGIRI ENERGY,NILGIRI ENERGY,19MGVJW1626T1Z0,32620057569869,2025-12-27,2555.99,230.04,230.04,,,,3016.07,pump-gst,1,0.0
P00077,,receipts_text/P00077.txt,Shell Select Fuel Point,V017,,448538317951,2026-05-06,,,,,,,590,pump-plain,0,0.0
P00078,,receipts_text/P00078.txt,VAYU FUELS,VAYU FUELS,,3063785657698200,2026-04-03,,,,,,,3000,pump-plain,0,0.0
P00079,,receipts_text/P00079.txt,KAVERI PETRO,KAVERI PETRO,29LNCFE3199C1ZE,8369957631306647,2025-04-03,,,,,,,3168.76,pump-plain,0,0.0
P00080,,receipts_text/P00080.txt,GANGA PETROCHEM,GANGA PETROCHEM,,093402557483063,2026-07-10,2136.75,,,,,,2500,pump-vat,0,0.0
P00081,,receipts_text/P00081.txt,Bharat Petroleum Outlet,V003,33SGDDA7715T1ZB,97264945327385,2026-04-04,,,,,,,2008.40,pump-plain,0,0.0
P00082,,receipts_text/P00082.txt,Indian Oil Fuel Station,V008,09MDLUR4284E1ZJ,82938918559037,2025-06-07,84.74,7.63,7.63,,,,100,pump-gst,0,0.0
P00083,,receipts_text/P00083.txt,SAHYADRI ENERGY,SAHYADRI ENERGY,29TLCHL4543W1Z4,9399256857009064,2025-08-02,423.73,38.14,38.13,,,,500,pump-gst,2,0.0
P00084,,receipts_text/P00084.txt,Nayara Energy Outlet,V022,,6611665139241275,2026-05-05,,,,,,,3630.52,pump-plain,0,0.0
P00085,,receipts_text/P00085.txt,Nayara Energy Outlet,V022,19KETTW7961F1ZZ,73118380066353291,2026-06-13,500.00,45.00,45.00,,,,590,pump-gst,1,0.0
P00086,,receipts_text/P00086.txt,Indian Oil Fuel Station,V008,,68630785662554,2025-11-27,,,,,,,200,pump-plain,3,0.0
P00087,,receipts_text/P00087.txt,GANGA PETROCHEM,GANGA PETROCHEM,36HVTVL5329J1ZF,5346718345632467,2025-07-22,1271.18,114.41,114.41,,,,1500,pump-gst,0,0.0
P00088,,receipts_text/P00088.txt,Nayara Energy Outlet,V022,36PTPKV3739R1Z9,761661547056,2025-02-11,169.49,15.26,15.25,,,,200,pump-gst,2,0.0
P00089,,receipts_text/P00089.txt,Indian Oil Fuel Station,V008,,9099434163832991,2025-04-15,,,,,,,742.94,pump-plain,0,0.0
P00090,,receipts_text/P00090.txt,Nayara Energy Outlet,V022,,5735243333361,2026-03-13,,,,,,,100,pump-plain,0,0.0
P00091,,receipts_text/P00091.txt,Shell Select Fuel Point,V017,,1075792483157,2025-09-13,,,,,,,2000,pump-plain,0,0.0
P00092,,receipts_text/P00092.txt,SAHYADRI ENERGY,SAHYADRI ENERGY,,535247961633,2026-05-06,256.41,,,,,,300,pump-vat,0,0.0
P00093,,receipts_text/P00093.txt,Indian Oil Fuel Station,V008,27CDHWS0337U1ZB,9341875617336,2025-03-31,700.92,63.08,63.08,,,,827.08,pump-gst,3,0.0
P00094,,receipts_text/P00094.txt,SAHYADRI ENERGY,SAHYADRI ENERGY,,03200326339877,2026-05-23,,,,,,,771.50,pump-plain,0,0.0
P00095,,receipts_text/P00095.txt,Bharat Petroleum Outlet,V003,24AUSSL5601K1Z7,550413426012272,2025-09-02,85.47,,,,,,100,pump-vat,0,0.0
P00096,,receipts_text/P00096.txt,Nayara Energy Outlet,V022,,6518032075683839,2025-05-01,,,,,,,3329.56,pump-plain,1,0.0
P00097,,receipts_text/P00097.txt,Indian Oil Fuel Station,V008,33BTWJD9457D1ZO,131688376183,2025-11-16,500.00,45.00,45.00,,,,590,pump-gst,0,0.0
P00098,,receipts_text/P00098.txt,GANGA PETROCHEM,GANGA PETROCHEM,27KBNMG4885M1ZS,363202566580,2026-01-15,1694.92,152.54,152.54,,,,2000,pump-gst,3,0.0
P00099,,receipts_text/P00099.txt,Hindustan Petroleum Outlet,V021,36GPKDW7995R1ZR,5852774030622271,2025-11-24,2542.36,228.82,228.82,,,,3000,pump-gst,1,0.0
P00100,,receipts_text/P00100.txt,Indian Oil Fuel Station,V008,,266774492406,2025-08-04,,,,,,,2000,pump-plain,0,0.0
